epoch,train_loss,val_loss,val_auc,val_ap,val_acc,val_f1,lr,epoch_time
22,0.003695,0.011938,0.9996,0.9922,0.9963,0.9537,0.001000,16.24
23,0.003238,0.014255,0.9995,0.9884,0.9952,0.9411,0.001000,13.85
24,0.003110,0.010731,0.9997,0.9937,0.9966,0.9562,0.001000,14.09
25,0.002712,0.010546,0.9998,0.9950,0.9968,0.9594,0.001000,13.98
26,0.003142,0.011319,0.9997,0.9926,0.9960,0.9497,0.001000,14.83
27,0.001965,0.017683,0.9996,0.9907,0.9952,0.9415,0.001000,14.76
28,0.002462,0.014925,0.9995,0.9888,0.9948,0.9374,0.001000,14.05
29,0.002739,0.013749,0.9996,0.9912,0.9957,0.9456,0.001000,15.31
30,0.001667,0.013240,0.9997,0.9919,0.9961,0.9500,0.001000,13.86
31,0.002282,0.013731,0.9997,0.9923,0.9961,0.9513,0.001000,14.03
32,0.001876,0.014566,0.9997,0.9922,0.9965,0.9559,0.001000,13.56
33,0.001666,0.013463,0.9995,0.9910,0.9959,0.9486,0.001000,13.52
34,0.000495,0.012275,0.9998,0.9957,0.9966,0.9573,0.000500,13.66
35,0.000113,0.013748,0.9998,0.9961,0.9969,0.9608,0.000500,14.08
36,0.000024,0.013572,0.9998,0.9964,0.9970,0.9627,0.000500,13.52
37,0.000008,0.015218,0.9998,0.9962,0.9970,0.9616,0.000500,14.66
38,0.000006,0.014802,0.9998,0.9963,0.9974,0.9671,0.000500,13.97
39,0.000003,0.015442,0.9998,0.9964,0.9972,0.9644,0.000500,15.40
40,0.000004,0.015755,0.9998,0.9965,0.9972,0.9653,0.000500,14.53
41,0.000004,0.015287,0.9998,0.9962,0.9972,0.9656,0.000500,14.18
42,0.000003,0.015355,0.9998,0.9965,0.9972,0.9655,0.000250,14.42
43,0.000196,0.016125,0.9998,0.9956,0.9971,0.9639,0.000250,14.50
44,0.000008,0.016032,0.9998,0.9963,0.9971,0.9635,0.000250,17.32
45,0.000005,0.016052,0.9998,0.9963,0.9970,0.9627,0.000250,13.14
46,0.000002,0.016420,0.9998,0.9963,0.9970,0.9626,0.000250,13.47
47,0.000002,0.016456,0.9998,0.9962,0.9972,0.9645,0.000250,13.32
48,0.000002,0.016191,0.9998,0.9964,0.9973,0.9664,0.000250,13.42
49,0.000002,0.016663,0.9998,0.9964,0.9972,0.9654,0.000250,12.95
50,0.000001,0.016779,0.9998,0.9964,0.9972,0.9645,0.000125,13.14
51,0.000001,0.017175,0.9998,0.9964,0.9972,0.9644,0.000125,13.14
52,0.000002,0.017090,0.9998,0.9964,0.9973,0.9663,0.000125,13.41
53,0.000001,0.017234,0.9998,0.9964,0.9972,0.9654,0.000125,13.27
54,0.000001,0.017516,0.9998,0.9965,0.9972,0.9644,0.000125,13.24
55,0.000001,0.017666,0.9998,0.9964,0.9972,0.9644,0.000125,12.99
56,0.000002,0.017775,0.9998,0.9965,0.9970,0.9617,0.000125,12.97
57,0.000000,0.017662,0.9998,0.9965,0.9971,0.9635,0.000125,13.41
